Array Size,Correctness,Timing,Size,Average Correctness,Average Timing,Inverse Multiplication
5,1,0.7354698181,5,1,0.5224313164,0.5224313164
5,1,0.5063679218,10,0.98,0.5089008904,0.5192866228
5,1,0.5163180828,15,0.98,0.5246490669,0.5353561907
5,1,0.9173328876,20,1,0.6045644999,0.6045644999
5,1,0.6134340763,25,0.8,0.5160090542,0.6450113177
5,1,0.448633194,30,0.94,0.4940549469,0.525590369
5,1,0.4726631641,35,0.78,0.5162280369,0.6618308165
5,1,0.6167230606,40,0.62,0.5229303551,0.8434360566
5,1,0.5312850475,45,0.72,0.5322223663,0.739197731
5,1,0.4790577888,50,0.48,0.5578234577,1.162132204
5,1,0.4623641968,55,0.56,0.5676176262,1.013602904
5,1,0.5289759636,60,0.42,0.5146852112,1.225440979
5,1,0.9436490536,65,0.4,0.5378976154,1.344744039
5,1,0.5779528618,70,0.5,0.534527998,1.069055996
5,1,0.4914867878,75,0.34,0.5560652685,1.635486084
5,1,0.455188036,80,0.3,0.5283526516,1.761175505
5,1,0.6601219177,85,0.24,0.6091148186,2.537978411
5,1,0.5678567886,90,0.3,0.5664719725,1.888239908
5,1,0.5216491222,95,0.04,0.7730803871,19.32700968
5,1,0.6524698734,100,0.18,0.5675892735,3.153273741
5,1,0.4171950817,105,0.12,0.5411312246,4.509426872
5,1,0.4537148476,110,0.1,0.6664577961,6.664577961
5,1,0.5000019073,115,0.22,0.6460283041,2.936492291
5,1,0.3632090092,120,0.2,0.6968234062,3.484117031
5,1,0.5059409142,125,0.04,0.6402966642,16.00741661
5,1,0.5397078991,130,0.14,0.6778622007,4.841872862
5,1,0.4596850872,135,0.06,0.6152623987,10.25437331
5,1,0.4557621479,140,0.04,0.55318748,13.829687
5,1,0.4257638454,145,0.1,0.5987135601,5.987135601
5,1,0.5737638474,150,0.18,0.6174631977,3.430351098
