size of array,correctness,timing,Size,Average Correctness,Average Timing,Inverse Multiplication,"magnitude (0,1000)"
5,1,0.6455900669,5,1,0.4987683296,0.4987683296,
5,1,0.4069340229,10,0.96,0.6936217403,0.7225226462,
5,1,0.4003908634,15,1,0.9171885586,0.9171885586,
5,1,0.4930257797,20,0.9,0.8959287071,0.9954763412,
5,1,0.4680628777,25,0.84,1.079500265,1.285119363,
5,1,0.5274131298,30,0.84,1.155218463,1.375260075,
5,1,0.5712730885,35,0.82,1.413639183,1.723950223,
5,1,0.544878006,40,0.74,1.332514987,1.800695928,
5,1,0.7169289589,45,0.56,1.569159298,2.802070175,
5,1,0.422880888,50,0.36,1.736795483,4.824431896,
5,1,0.51795578,55,0.48,1.920245876,4.000512242,
5,1,0.4249079227,60,0.4,1.950956359,4.877390897,
5,1,0.4625790119,65,0.42,1.953735137,4.651750326,
5,1,0.4266290665,70,0.3,2.298295641,7.66098547,
5,1,0.5032148361,75,0.2,2.355356627,71.85941932,
5,1,0.4138789177,80,0.28,2.413700671,8.62035954,
5,1,0.4340229034,85,0.22,2.51633215,11.43787341,
5,1,0.4088482857,90,0.08,2.62056365,32.75704563,
5,1,0.4458019733,95,0.1,2.804789553,28.04789553,
5,1,0.5133068562,100,0.06,2.872296982,47.87161636,
5,1,0.5237858295,105,0.06,3.028180509,50.46967514,
5,1,0.4270169735,110,0.04,3.285915332,82.1478833,
5,1,0.4872529507,115,0.02,3.278909802,163.9454901,
5,1,0.3960330486,120,0.04,3.270274496,81.7568624,
5,1,0.4713099003,125,0.02,3.310657172,165.5328586,
5,1,0.4956479073,130,0.06,3.682697253,61.37828755,
5,1,0.5087387562,135,0,3.637074013,#DIV/0!,
5,1,0.8772721291,140,0,4.014279933,#DIV/0!,
5,1,0.5549151897,145,0.02,4.125819836,206.2909918,
5,1,0.5141172409,150,0,4.464387207,#DIV/0!,
