size of array,correctness,timing,Size,Average Correctness,Average Timing,Inverse Multiplication,"magnitude (0,1000)"
5,1,0.8236987591,5,1,0.6571805,0.6571805,
5,1,0.4933030605,10,0.98,0.9531657839,0.9726181468,
5,1,0.594825983,15,0.94,1.084796,1.154038297,
5,1,0.56873703,20,0.98,1.321801362,1.3487769,
5,1,0.5846960545,25,0.82,1.563943114,1.9072477,
5,1,0.9576411247,30,0.78,1.718258982,2.20289613,
5,1,0.6246287823,35,0.8,1.995992546,2.494990683,
5,1,0.7092268467,40,0.68,2.321420212,3.413853253,
5,1,0.61165905,45,0.72,2.471921282,3.433224003,
5,1,0.6958420277,50,0.5,2.728397303,5.456794605,
5,1,0.6179468632,55,0.46,3.058053923,6.64794331,
5,1,0.664129734,60,0.44,3.275367785,7.444017692,
5,1,0.602627039,65,0.42,3.570687199,8.501636187,
5,1,0.5407459736,70,0.32,3.784040184,11.82512558,
5,1,0.7093801498,75,0.36,3.930668521,10.91852367,
5,1,0.7400829792,80,0.16,4.039080238,25.24425149,
5,1,0.6555879116,85,0.1,4.435891213,44.35891213,
5,1,0.629622221,90,0.1,4.895867062,48.95867062,
5,1,0.6090970039,95,0.1,4.886753311,48.86753311,
5,1,0.6147470474,100,0.18,5.131058693,28.50588163,
5,1,0.6705868244,105,0.08,5.226384826,65.32981032,
5,1,0.6894989014,110,0,5.478502684,0,
5,1,0.6739680767,115,0.06,5.712793097,95.21321829,
5,1,0.624022007,120,0.02,6.267540941,313.3770471,
