Array Size,Correctness,Timing,Size,Average Correctness,Average Timing,Inverse Multiplication
5,1,1.482837915,5,1,0.5681750059,0.5681750059
5,1,4.353867054,10,0.98,0.4886802292,0.4986532951
5,1,0.4262239933,15,1,0.5014185715,0.5014185715
5,1,0.3988611698,20,0.94,0.4575828362,0.4867902512
5,1,0.339771986,25,0.96,0.4832817602,0.5034185002
5,1,0.4239330292,30,0.88,0.458670845,0.5212168694
5,1,0.3695960045,35,0.78,0.480347023,0.6158295167
5,1,0.4153399467,40,0.64,0.4704485512,0.7350758612
5,1,0.4784209728,45,0.66,0.4473992109,0.6778775923
5,1,0.477686882,50,0.66,0.4436326265,0.6721706463
5,1,0.5079791546,55,0.6,0.4533309317,0.7555515528
5,1,0.6138067245,60,0.46,0.4422489929,0.9614108542
5,1,0.4651641846,65,0.52,0.466144743,0.896432198
5,1,0.4534759521,70,0.38,0.4443989706,1.169470975
5,1,0.5064508915,75,0.48,0.4517406178,0.941126287
5,1,0.3305647373,80,0.44,0.4631247854,1.052556331
5,1,0.4861917496,85,0.36,0.4616928768,1.282480213
5,1,0.5191700459,90,0.42,0.4541290617,1.081259671
5,1,0.3585278988,95,0.42,0.4670544815,1.11203448
5,1,0.463591814,100,0.34,0.5005145025,1.472101478
5,1,0.610669136,105,0.2,0.6085281658,3.042640829
5,1,0.5145790577,110,0.3,0.4773400831,1.59113361
5,1,0.4853382111,115,0.22,0.4666593885,2.121179039
5,1,0.7914502621,120,0.24,0.528892374,2.203718225
5,1,0.5676202774,125,0.1,0.4730402803,4.730402803
5,1,0.4151360989,130,0.12,0.5745847511,4.788206259
5,1,0.3482601643,135,0.16,0.5516147375,3.447592109
5,1,0.4666748047,140,0.28,0.5251625156,1.875580413
5,1,0.4584729671,145,0.24,0.5497279596,2.290533165
5,1,0.4259951115,150,0.16,0.5400038624,3.37502414
