Size,Correctness
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
20,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,0
30,0
30,1
30,1
30,1
30,1
30,1
30,1
30,0
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,0
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,0
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
30,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,1
40,1
40,1
40,0
40,1
40,0
40,0
40,1
40,0
40,1
40,1
40,1
40,1
40,0
40,0
40,1
40,1
40,1
40,0
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,0
40,0
40,0
40,1
40,0
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,0
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,1
40,1
40,0
40,0
40,1
40,0
40,0
40,1
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,0
40,1
40,0
40,0
40,0
40,0
40,1
40,0
40,1
40,1
40,1
40,0
40,0
40,1
40,1
40,1
40,1
40,1
40,1
40,1
40,0
40,0
40,1
40,1
40,1
40,0
40,1
40,0
40,1
40,1
50,1
50,1
50,1
50,0
50,1
50,0
50,0
50,0
50,1
50,1
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,0
50,1
50,1
50,0
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,0
50,0
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,0
50,0
50,0
50,0
50,1
50,0
50,1
50,0
50,0
50,0
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,0
50,1
50,0
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,1
50,0
50,0
50,1
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,1
50,1
50,1
50,1
50,0
50,0
50,0
50,1
50,1
50,1
50,0
50,1
50,1
50,1
50,0
50,1
50,1
50,1
50,0
50,1
50,1
50,0
50,1
50,1
50,1
50,1
50,0
50,1
50,1
50,0
50,1
50,0
50,1
50,0
50,1
50,0
50,1
50,1
50,1
50,0
50,1
50,0
50,1
50,1
50,0
50,0
50,0
50,0
50,0
50,0
60,0
60,0
60,0
60,0
60,0
60,0
60,1
60,1
60,0
60,1
70,0
70,1
70,0
70,0
70,1
70,1
70,1
70,1
90,1
90,0
90,1
90,1
90,1
90,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
100,1
200,0
